iter	Passed	Remaining
0	97	48642
1	148	36937
2	193	32129
3	239	29749
4	285	28241
5	330	27239
6	379	26725
7	427	26272
8	475	25936
9	520	25527
10	569	25302
11	627	25537
12	684	25632
13	736	25564
14	778	25164
15	825	24968
16	882	25063
17	935	25059
18	986	24973
19	1038	24920
20	1091	24885
21	1146	24908
22	1202	24938
23	1263	25063
24	1316	25008
25	1364	24882
26	1413	24768
27	1461	24642
28	1509	24515
29	1545	24215
30	1599	24202
31	1653	24183
32	1705	24133
33	1722	23612
34	1760	23386
35	1810	23335
36	1863	23320
37	1915	23289
38	1965	23231
39	1978	22752
40	2023	22648
41	2067	22546
42	2113	22458
43	2159	22381
44	2175	21996
45	2217	21882
46	2261	21792
47	2305	21713
48	2350	21634
49	2396	21572
50	2443	21515
51	2453	21141
52	2496	21055
53	2540	20986
54	2585	20920
55	2634	20888
56	2674	20788
57	2683	20451
58	2722	20348
59	2761	20253
60	2802	20165
61	2842	20083
62	2883	19998
63	2924	19923
64	2955	19779
65	2971	19538
66	3011	19465
67	3030	19250
68	3074	19203
69	3118	19154
70	3161	19103
71	3211	19088
72	3257	19055
73	3303	19016
74	3348	18976
75	3398	18961
76	3441	18906
77	3448	18655
78	3492	18612
79	3536	18565
80	3579	18518
81	3624	18474
82	3669	18435
83	3714	18396
84	3758	18351
85	3803	18310
86	3847	18263
87	3889	18207
88	3930	18150
89	3974	18106
90	4017	18057
91	4058	17999
92	4100	17945
93	4140	17883
94	4182	17829
95	4222	17769
96	4262	17710
97	4301	17645
98	4341	17586
99	4382	17531
100	4424	17477
101	4465	17423
102	4505	17366
103	4549	17321
104	4590	17269
105	4631	17214
106	4672	17162
107	4714	17111
108	4757	17064
109	4798	17014
110	4842	16969
111	4884	16922
112	4926	16873
113	4968	16821
114	5009	16771
115	5051	16721
116	5092	16670
117	5135	16624
118	5174	16568
119	5213	16509
120	5255	16460
121	5294	16403
122	5334	16349
123	5375	16299
124	5417	16253
125	5461	16211
126	5503	16164
127	5544	16114
128	5585	16063
129	5626	16013
130	5667	15963
131	5708	15913
132	5748	15861
133	5789	15812
134	5830	15764
135	5870	15712
136	5909	15658
137	5949	15606
138	5991	15560
139	6033	15513
140	6073	15464
141	6115	15416
142	6155	15366
143	6196	15318
144	6236	15269
145	6278	15222
146	6319	15175
147	6365	15140
148	6411	15104
149	6459	15071
150	6503	15030
151	6548	14993
152	6590	14946
153	6632	14902
154	6675	14858
155	6718	14814
156	6761	14771
157	6804	14727
158	6846	14684
159	6889	14640
160	6931	14595
161	6974	14550
162	7016	14506
163	7062	14470
164	7106	14427
165	7150	14387
166	7203	14363
167	7246	14319
168	7287	14274
169	7329	14227
170	7370	14179
171	7409	14130
172	7448	14079
173	7487	14028
174	7526	13977
175	7564	13926
176	7605	13878
177	7644	13829
178	7684	13781
179	7724	13732
180	7764	13685
181	7807	13641
182	7849	13597
183	7890	13551
184	7932	13506
185	7974	13462
186	8015	13416
187	8056	13370
188	8095	13320
189	8135	13273
190	8174	13224
191	8214	13176
192	8253	13128
193	8293	13081
194	8334	13035
195	8373	12987
196	8413	12940
197	8453	12894
198	8494	12848
199	8534	12801
200	8572	12752
201	8613	12707
202	8653	12660
203	8692	12612
204	8732	12566
205	8771	12518
206	8810	12470
207	8850	12424
208	8890	12378
209	8930	12332
210	8971	12287
211	9010	12240
212	9048	12192
213	9089	12147
214	9128	12100
215	9167	12053
216	9206	12006
217	9247	11962
218	9287	11916
219	9327	11871
220	9367	11826
221	9408	11781
222	9448	11735
223	9487	11689
224	9526	11643
225	9575	11609
226	9623	11573
227	9666	11531
228	9711	11493
229	9752	11448
230	9791	11402
231	9830	11356
232	9870	11310
233	9909	11264
234	9950	11221
235	9990	11175
236	10030	11130
237	10069	11085
238	10110	11041
239	10150	10996
240	10189	10950
241	10231	10907
242	10269	10860
243	10309	10816
244	10347	10770
245	10386	10723
246	10425	10679
247	10471	10640
248	10510	10594
249	10549	10549
250	10589	10505
251	10629	10460
252	10668	10415
253	10708	10370
254	10747	10325
255	10786	10281
256	10828	10238
257	10868	10194
258	10908	10150
259	10949	10106
260	10988	10062
261	11027	10017
262	11066	9972
263	11106	9928
264	11145	9883
265	11185	9839
266	11224	9795
267	11264	9751
268	11303	9706
269	11343	9662
270	11383	9618
271	11422	9574
272	11462	9531
273	11503	9487
274	11542	9444
275	11582	9400
276	11621	9356
277	11662	9313
278	11702	9269
279	11741	9225
280	11781	9182
281	11820	9138
282	11860	9094
283	11899	9050
284	11941	9008
285	11980	8964
286	12020	8920
287	12059	8877
288	12099	8833
289	12139	8790
290	12181	8749
291	12222	8706
292	12262	8663
293	12302	8619
294	12341	8576
295	12380	8532
296	12421	8489
297	12460	8446
298	12500	8403
299	12539	8359
300	12580	8317
301	12622	8275
302	12669	8237
303	12719	8200
304	12766	8162
305	12809	8121
306	12855	8081
307	12895	8038
308	12936	7996
309	12975	7953
310	13015	7909
311	13055	7866
312	13095	7824
313	13134	7780
314	13173	7737
315	13213	7693
316	13252	7650
317	13293	7607
318	13333	7565
319	13358	7514
320	13400	7472
321	13441	7430
322	13484	7389
323	13526	7347
324	13567	7305
325	13610	7264
326	13652	7223
327	13694	7181
328	13736	7139
329	13778	7098
330	13819	7055
331	13861	7014
332	13905	6973
333	13946	6931
334	13985	6888
335	14026	6846
336	14069	6805
337	14114	6764
338	14158	6724
339	14202	6683
340	14246	6642
341	14291	6602
342	14336	6562
343	14380	6521
344	14425	6480
345	14469	6440
346	14513	6399
347	14558	6358
348	14603	6318
349	14648	6277
350	14692	6237
351	14737	6196
352	14782	6156
353	14827	6115
354	14872	6074
355	14918	6034
356	14962	5993
357	15008	5952
358	15052	5912
359	15097	5871
360	15143	5830
361	15187	5789
362	15230	5748
363	15275	5707
364	15319	5666
365	15363	5625
366	15407	5583
367	15452	5542
368	15495	5501
369	15538	5459
370	15581	5417
371	15622	5375
372	15664	5333
373	15706	5291
374	15751	5250
375	15801	5211
376	15857	5173
377	15918	5137
378	15965	5097
379	16011	5056
380	16080	5022
381	16126	4981
382	16167	4939
383	16206	4895
384	16248	4853
385	16291	4811
386	16335	4769
387	16380	4728
388	16424	4686
389	16468	4645
390	16514	4603
391	16560	4562
392	16607	4521
393	16652	4480
394	16696	4438
395	16742	4397
396	16787	4355
397	16832	4313
398	16880	4272
399	16931	4232
400	16978	4191
401	17022	4149
402	17065	4107
403	17111	4066
404	17155	4024
405	17199	3982
406	17245	3940
407	17290	3898
408	17333	3856
409	17375	3814
410	17417	3771
411	17459	3729
412	17502	3687
413	17553	3646
414	17605	3606
415	17648	3563
416	17689	3520
417	17730	3478
418	17771	3435
419	17813	3393
420	17860	3351
421	17905	3309
422	17946	3266
423	17987	3224
424	18027	3181
425	18070	3139
426	18112	3096
427	18170	3056
428	18221	3015
429	18266	2973
430	18306	2930
431	18354	2889
432	18394	2846
433	18436	2803
434	18481	2761
435	18526	2719
436	18569	2677
437	18610	2634
438	18649	2591
439	18690	2548
440	18732	2506
441	18772	2463
442	18815	2420
443	18857	2378
444	18900	2335
445	18941	2293
446	18982	2250
447	19023	2208
448	19070	2166
449	19120	2124
450	19167	2082
451	19213	2040
452	19255	1997
453	19297	1955
454	19341	1912
455	19384	1870
456	19427	1827
457	19468	1785
458	19509	1742
459	19549	1699
460	19590	1657
461	19631	1614
462	19671	1572
463	19711	1529
464	19751	1486
465	19792	1444
466	19833	1401
467	19875	1358
468	19915	1316
469	19956	1273
470	20000	1231
471	20041	1188
472	20081	1146
473	20122	1103
474	20163	1061
475	20204	1018
476	20244	976
477	20285	933
478	20326	891
479	20369	848
480	20411	806
481	20453	763
482	20495	721
483	20538	678
484	20579	636
485	20619	593
486	20660	551
487	20702	509
488	20743	466
489	20783	424
490	20823	381
491	20864	339
492	20905	296
493	20947	254
494	20986	211
495	21028	169
496	21069	127
497	21110	84
498	21151	42
499	21193	0
