iter	RMSE
0	23.88822643
1	22.85308619
2	21.98027438
3	21.31036296
4	20.6420772
5	20.08455426
6	19.6555781
7	19.257064
8	18.84535216
9	18.54185329
10	18.26687055
11	17.99047951
12	17.72798137
13	17.5728358
14	17.38510141
15	17.21614121
16	17.0461122
17	16.90501294
18	16.75974621
19	16.65975351
20	16.53204225
21	16.44248763
22	16.37008225
23	16.27981682
24	16.22565831
25	16.15284515
26	16.09105013
27	16.02235154
28	15.96933419
29	15.9170449
30	15.86539995
31	15.80171722
32	15.76644015
33	15.70681155
34	15.68026359
35	15.63962019
36	15.59511972
37	15.55287276
38	15.50993208
39	15.49824318
40	15.4664801
41	15.44531757
42	15.39834336
43	15.37352366
44	15.3390036
45	15.30145833
46	15.26983113
47	15.25711574
48	15.23099328
49	15.21865861
50	15.19300841
51	15.16536616
52	15.15599049
53	15.13198334
54	15.13197493
55	15.11060094
56	15.10323998
57	15.06972744
58	15.06242859
59	15.04902456
60	15.01917744
61	15.00094925
62	14.99101066
63	14.96002391
64	14.94905398
65	14.92996785
66	14.91784263
67	14.88369116
68	14.86134071
69	14.83313158
70	14.81245834
71	14.7998053
72	14.77643014
73	14.74446002
74	14.71253229
75	14.70007261
76	14.69321494
77	14.66820583
78	14.64702315
79	14.64387336
80	14.61650619
81	14.595875
82	14.59054766
83	14.58425734
84	14.56999093
85	14.56121131
86	14.53762595
87	14.53475584
88	14.50020324
89	14.47629703
90	14.46342421
91	14.45061993
92	14.43834118
93	14.4273995
94	14.40951104
95	14.38551901
96	14.37859466
97	14.35461204
98	14.33310143
99	14.31336549
100	14.30343274
101	14.28338757
102	14.26046104
103	14.2580535
104	14.24866545
105	14.24042104
106	14.23507332
107	14.22468793
108	14.21302181
109	14.18303053
110	14.1684467
111	14.13805968
112	14.1166148
113	14.0899381
114	14.08749508
115	14.07822538
116	14.0742724
117	14.06558938
118	14.06041985
119	14.04031296
120	14.02498143
121	14.00570205
122	13.9971963
123	13.97224807
124	13.97024546
125	13.95848422
126	13.95272583
127	13.93311448
128	13.92996598
129	13.90493595
130	13.88736423
131	13.86874214
132	13.85346332
133	13.85252527
134	13.84123848
135	13.83348766
136	13.80918243
137	13.80222661
138	13.79413004
139	13.77808748
140	13.77733145
141	13.76922596
142	13.76354088
143	13.75845754
144	13.73562913
145	13.73433429
146	13.73040295
147	13.72907892
148	13.72737623
149	13.7087928
150	13.6733454
151	13.66350385
152	13.65920789
153	13.65858175
154	13.64856172
155	13.64649765
156	13.62244484
157	13.60562986
158	13.59805769
159	13.59474486
160	13.5796065
161	13.57007329
162	13.56323967
163	13.55188491
164	13.52743153
165	13.5171799
166	13.49168107
167	13.46991192
168	13.4578564
169	13.44715943
170	13.44607612
171	13.44117504
172	13.4380651
173	13.42870261
174	13.42524484
175	13.3913605
176	13.38197452
177	13.37318724
178	13.35374666
179	13.34939173
180	13.33371071
181	13.32191354
182	13.31264601
183	13.30498983
184	13.29942149
185	13.29123236
186	13.28975669
187	13.27500885
188	13.26817042
189	13.26641275
190	13.26221614
191	13.2477935
192	13.23454818
193	13.22676015
194	13.21511916
195	13.2019552
196	13.18135477
197	13.17772065
198	13.17677457
199	13.16469659
200	13.15693025
201	13.13479755
202	13.13213299
203	13.12306421
204	13.11205727
205	13.1079203
206	13.09796552
207	13.09209919
208	13.08682027
209	13.08058376
210	13.06475571
211	13.05549817
212	13.05445537
213	13.04667716
214	13.02514454
215	13.01387771
216	12.99878543
217	12.9818845
218	12.96463205
