iter	Passed	Remaining
0	54	27188
1	108	27066
2	155	25791
3	200	24806
4	243	24121
5	288	23751
6	332	23386
7	375	23089
8	418	22807
9	461	22590
10	503	22391
11	545	22164
12	587	22018
13	630	21871
14	672	21754
15	714	21606
16	755	21462
17	798	21368
18	838	21230
19	881	21159
20	923	21073
21	967	21021
22	1008	20911
23	1051	20849
24	1092	20754
25	1134	20681
26	1176	20605
27	1217	20528
28	1260	20474
29	1304	20444
30	1346	20373
31	1389	20319
32	1431	20255
33	1473	20194
34	1515	20134
35	1556	20066
36	1601	20036
37	1643	19986
38	1687	19949
39	1703	19586
40	1743	19517
41	1786	19486
42	1828	19434
43	1871	19392
44	1913	19352
45	1956	19305
46	2002	19303
47	2047	19281
48	2092	19259
49	2136	19227
50	2177	19174
51	2219	19125
52	2264	19094
53	2306	19049
54	2315	18738
55	2359	18709
56	2403	18676
57	2446	18643
58	2489	18610
59	2534	18586
60	2578	18557
61	2622	18529
62	2666	18493
63	2709	18460
64	2743	18361
65	2785	18315
66	2826	18264
67	2870	18237
68	2913	18197
69	2955	18152
70	2997	18111
71	3039	18067
72	3083	18036
73	3126	17998
74	3172	17974
75	3219	17962
76	3271	17972
77	3317	17949
78	3364	17931
79	3380	17747
80	3420	17695
81	3462	17652
82	3505	17612
83	3547	17567
84	3591	17536
85	3635	17500
86	3678	17460
87	3721	17423
88	3765	17387
89	3808	17351
90	3852	17314
91	3897	17285
92	3943	17259
93	3989	17230
94	4032	17191
95	4077	17160
96	4121	17122
97	4163	17080
98	4210	17053
99	4256	17027
100	4301	16993
101	4343	16949
102	4386	16908
103	4429	16866
104	4472	16825
105	4515	16783
106	4558	16742
107	4602	16704
108	4644	16661
109	4688	16623
110	4730	16578
111	4772	16532
112	4815	16491
113	4858	16451
114	4902	16414
115	4945	16372
116	4988	16328
117	5031	16289
118	5078	16261
119	5122	16221
120	5165	16178
121	5207	16134
122	5249	16090
123	5298	16066
124	5352	16056
125	5395	16015
126	5438	15973
127	5482	15933
128	5525	15889
129	5566	15842
130	5611	15806
131	5654	15762
132	5695	15715
133	5738	15674
134	5781	15630
135	5824	15590
136	5869	15552
137	5916	15519
138	5960	15479
139	6004	15441
140	6047	15397
141	6091	15357
142	6135	15318
143	6179	15277
144	6223	15237
145	6268	15198
146	6310	15154
147	6353	15110
148	6398	15072
149	6446	15041
150	6494	15010
151	6542	14977
152	6588	14943
153	6631	14900
154	6674	14856
155	6718	14814
156	6762	14774
157	6809	14738
158	6851	14695
159	6896	14656
160	6941	14616
161	6987	14578
162	7030	14535
163	7074	14494
164	7117	14449
165	7159	14404
166	7203	14363
167	7249	14326
168	7292	14282
169	7335	14239
170	7377	14193
171	7419	14148
172	7461	14102
173	7503	14058
174	7546	14014
175	7589	13970
176	7631	13926
177	7673	13881
178	7714	13834
179	7757	13790
180	7800	13747
181	7846	13709
182	7889	13665
183	7931	13621
184	7973	13577
185	8016	13533
186	8059	13489
187	8100	13443
188	8142	13399
189	8184	13354
190	8227	13310
191	8274	13273
192	8318	13232
193	8362	13189
194	8403	13144
195	8446	13100
196	8488	13056
197	8531	13012
198	8574	12968
199	8617	12925
200	8662	12885
